subject,assignmentid,hitid,experiment,accepttime,submittime,condition,errors,blockname,trial,stim,stimfn,listId,targetId,targetPos,clickx,clicky,tstart,tend,rt
supunsup_327,3WI0P0II61R5B9DPVRI7N9AUP5ZDR1,36818Z1KV2CD8GRHAPL7RR4NFIV3AR,supervised-unsupervised-vot,Fri Jun 27 14:26:02 EDT 2014,Fri Jun 27 15:07:08 EDT 2014,'',NA,visworld_supervised_0,0,4,BEACH40.wav,BEACH_p_supervised,beak,left,148,330,1.4039E+12,1.4039E+12,1955
supunsup_327,3WI0P0II61R5B9DPVRI7N9AUP5ZDR1,36818Z1KV2CD8GRHAPL7RR4NFIV3AR,supervised-unsupervised-vot,Fri Jun 27 14:26:02 EDT 2014,Fri Jun 27 15:07:08 EDT 2014,'',NA,visworld_supervised_0,1,23,BEAK20.wav,BEAK_p_supervised,bees,right,499,328,1.4039E+12,1.4039E+12,1152
supunsup_327,3WI0P0II61R5B9DPVRI7N9AUP5ZDR1,36818Z1KV2CD8GRHAPL7RR4NFIV3AR,supervised-unsupervised-vot,Fri Jun 27 14:26:02 EDT 2014,Fri Jun 27 15:07:08 EDT 2014,'',NA,visworld_supervised_0,2,18,BEES30.wav,BEES_p_unsupervised,bees,left,106,315,1.4039E+12,1.4039E+12,1487
supunsup_327,3WI0P0II61R5B9DPVRI7N9AUP5ZDR1,36818Z1KV2CD8GRHAPL7RR4NFIV3AR,supervised-unsupervised-vot,Fri Jun 27 14:26:02 EDT 2014,Fri Jun 27 15:07:08 EDT 2014,'',NA,visworld_supervised_0,3,26,BEAK-10.wav,BEAK_b_unsupervised,beak,left,140,319,1.4039E+12,1.4039E+12,880
supunsup_327,3WI0P0II61R5B9DPVRI7N9AUP5ZDR1,36818Z1KV2CD8GRHAPL7RR4NFIV3AR,supervised-unsupervised-vot,Fri Jun 27 14:26:02 EDT 2014,Fri Jun 27 15:07:08 EDT 2014,'',NA,visworld_supervised_0,4,16,BEES-10.wav,BEES_b_unsupervised,bees,right,475,308,1.4039E+12,1.4039E+12,1454
supunsup_327,3WI0P0II61R5B9DPVRI7N9AUP5ZDR1,36818Z1KV2CD8GRHAPL7RR4NFIV3AR,supervised-unsupervised-vot,Fri Jun 27 14:26:02 EDT 2014,Fri Jun 27 15:07:08 EDT 2014,'',NA,visworld_supervised_0,5,5,BEACH60.wav,BEACH_p_supervised,peach,left,62,316,1.4039E+12,1.4039E+12,919
supunsup_327,3WI0P0II61R5B9DPVRI7N9AUP5ZDR1,36818Z1KV2CD8GRHAPL7RR4NFIV3AR,supervised-unsupervised-vot,Fri Jun 27 14:26:02 EDT 2014,Fri Jun 27 15:07:08 EDT 2014,'',NA,visworld_supervised_0,6,19,BEES50.wav,BEES_p_unsupervised,peas,left,86,313,1.4039E+12,1.4039E+12,1576
supunsup_327,3WI0P0II61R5B9DPVRI7N9AUP5ZDR1,36818Z1KV2CD8GRHAPL7RR4NFIV3AR,supervised-unsupervised-vot,Fri Jun 27 14:26:02 EDT 2014,Fri Jun 27 15:07:08 EDT 2014,'',NA,visworld_supervised_0,7,4,BEACH40.wav,BEACH_p_supervised,peach,left,52,320,1.4039E+12,1.4039E+12,847
supunsup_327,3WI0P0II61R5B9DPVRI7N9AUP5ZDR1,36818Z1KV2CD8GRHAPL7RR4NFIV3AR,supervised-unsupervised-vot,Fri Jun 27 14:26:02 EDT 2014,Fri Jun 27 15:07:08 EDT 2014,'',NA,visworld_supervised_0,8,28,BEAK30.wav,BEAK_p_unsupervised,peak,right,528,269,1.4039E+12,1.4039E+12,1191
